"name","id"
"กฎหมาย","1"
"เกษตร/ปศุสัตว์/ประมง/เหมืองแร่","2"
"เจ้าหน้าที่ขาย-การตลาด / พนักงานขาย-การตลาด","3"
"ส่งเสริม/สนับสนุน/ประสานงานการขาย-การตลาด","4"
"ผู้จัดการ/ผู้ช่วยผู้จัดการขาย-การตลาด","5"
"งานการศึกษา/วิชาการ/อาจารย์","6"
"ธุรการ/ประสานงาน/คีย์ข้อมูล","7"
"เลขานุการ","8"
"ประชาสัมพันธ์/บริการลูกค้า","9"
"บัญชี/การเงิน-การธนาคาร","10"
"บุคคล/ฝึกอบรม/Training","11"
"จัดซื้อ/คลังสินค้า/logistics","12"
"นำเข้า/ส่งออก/Shipping/งานด้านต่างประเทศ","13"
"โรงงาน/การผลิต/ควบคุมคุณภาพ","14"
"ช่างยนต์/ช่างกลโรงงาน/ช่างเทคนิคอุตสาหกรรม","15"
"ช่างไฟฟ้า/ช่างอิเลกทรอนิกส์/ช่างโลหะ","16"
"ช่างคอมพิวเตอร์/ช่างเทคนิคคอมพิวเตอร์/Support","17"
"ช่างจิวเวอร์รี่ /ช่างทอง-เงิน","18"
"ช่างพิมพ์ออฟเซ็ท/อิงค์เจ็ท","19"
"ดีไซน์เนอร์/ช่างตัดเย็บเสื้อผ้า/ช่างแพทเทิร์น","20"
"โฟร์แมน/ช่างก่อสร้าง/ช่างไม้","21"
"งานเขียนแบบ/งานDrawing","22"
"ศิลปะ/จิตรกรรม/ออกแบบผลิตภัณฑ์","23"
"Programmer/System Admin/IT","24"
"Web programer/Webmaster","25"
"Web Design/Graphic Design","26"
"วิศวกรขาย/Sale Engineer","27"
"วิศวกรเครื่องกล/โรงงาน/วิศวกรอุตสาหกรรม","28"
"วิศวกรไฟฟ้า/วิศวกรอิเลกทรอนิกส์","29"
"วิศวกรโยธา/วิศวกรก่อสร้าง","30"
"วิศวกรสื่อสาร/โทรคมนาคม","31"
"วิศวกรคอมพิวเตอร์/วิศวกรระบบ","32"
"วิศวกรเหมืองแร่","33"
"วิศวกรสิ่งแวดล้อม","34"
"สถาปัตยกรรม/ออกแบบตกแต่ง/ประเมินราคา","35"
"งานโฆษณา/ขายโฆษณา/Creative/ช่างภาพ","36"
"งานบันเทิง/นักแสดง/พริ๊ตตี้/นักดนตรี/นักร้อง","37"
"สุขภาพความงาม/เสริมสวย/สปา/ฟิตเนส","38"
"นักวิทยาศาสตร์การกีฬา/เทรนเนอร์","39"
"ผู้จัดการทั่วไป/ผู้อำนวยการ/งานผู้บริหาร","40"
"พัฒนาธุรกิจ/พัฒนาองค์กร ISO","41"
"เศรษฐศาสตร์/สถิติ/งานวิจัย/หุ้น/การประกันภัย","42"
"นักข่าว/บรรณาธิการ/นักเขียน/แปลภาษา","43"
"การโรงแรม/ล่าม/ไกด์/มัคคุเทศก์/งานท่องเที่ยว","44"
"งานบริการทั่วไป/บริกร/พนักงานเสิร์ฟ","45"
"งานด้านอาหาร-เครื่องดื่ม/กุ๊ก/บาร์เทนเดอร์","46"
"แพทย์/พยาบาล/เภสัช","47"
"วิทยาศาสตร์/เคมี/ชีวะ/สิ่งแวดล้อม/ภูมิศาสตร์","48"
"วิทยาศาสตร์อาหาร/โภชนาการ","49"
"เจ้าหน้าที่ความปลอดภัยวิชาชีพ(จป.วิชาชีพ)","50"
"ส่งเอกสาร/ส่งผลิตภัณฑ์/ขับรถ/แม่บ้าน/รปภ.","51"
"งาน Part-time/นักศึกษาฝึกงาน","52"
"เร่งรัดหนี้สิน","53"
"งานสำหรับผู้พิการ","54"
"อื่นๆ","55"
